State_Name,Year,Literacy
Haryana,2016,75.55
Haryana,2017,75.55
Haryana,2018,75.55
Haryana,2019,75.55
Haryana,1961,NA
Haryana,1962,NA
Haryana,1963,NA
Haryana,1964,NA
Haryana,1965,NA
Haryana,1966,NA
Haryana,1967,NA
Haryana,1968,NA
Haryana,1969,NA
Haryana,1970,NA
Himachal_Pradesh,1982,NA
Himachal_Pradesh,1983,NA
Himachal_Pradesh,1984,NA
Himachal_Pradesh,1985,NA
Himachal_Pradesh,1986,NA
Himachal_Pradesh,1987,NA
Himachal_Pradesh,1988,NA
Himachal_Pradesh,1989,NA
Himachal_Pradesh,1990,NA
Himachal_Pradesh,1991,63.86
Himachal_Pradesh,1992,65.122
Himachal_Pradesh,1993,66.384
Himachal_Pradesh,1994,67.646
Himachal_Pradesh,1995,68.908
Himachal_Pradesh,1996,70.17
Himachal_Pradesh,1997,71.432
Himachal_Pradesh,1998,72.694
Himachal_Pradesh,1999,73.956
Himachal_Pradesh,2000,75.218
Himachal_Pradesh,2001,76.48
Himachal_Pradesh,2002,77.112
Himachal_Pradesh,2003,77.744
Himachal_Pradesh,2004,78.376
Himachal_Pradesh,2005,79.008
Himachal_Pradesh,2006,79.64
Himachal_Pradesh,2007,80.272
Himachal_Pradesh,2008,80.904
Himachal_Pradesh,2009,81.536
Himachal_Pradesh,2010,82.168
Himachal_Pradesh,2011,82.8
Himachal_Pradesh,2012,82.8
Himachal_Pradesh,2013,82.8
Himachal_Pradesh,2014,82.8
Himachal_Pradesh,2015,82.8
Himachal_Pradesh,2016,82.8
Himachal_Pradesh,2017,82.8
Himachal_Pradesh,2018,82.8
Himachal_Pradesh,2019,82.8
Himachal_Pradesh,1961,NA
Himachal_Pradesh,1962,NA
Himachal_Pradesh,1963,NA
Himachal_Pradesh,1964,NA
Himachal_Pradesh,1965,NA
Himachal_Pradesh,1966,NA
Himachal_Pradesh,1967,NA
Himachal_Pradesh,1968,NA
Himachal_Pradesh,1969,NA
Himachal_Pradesh,1970,NA
Himachal_Pradesh,1971,NA
Himachal_Pradesh,1972,NA
Himachal_Pradesh,1973,NA
Himachal_Pradesh,1974,NA
Himachal_Pradesh,1975,NA
Himachal_Pradesh,1976,NA
Himachal_Pradesh,1977,NA
Himachal_Pradesh,1978,NA
Himachal_Pradesh,1979,NA
Himachal_Pradesh,1980,NA
Himachal_Pradesh,1981,NA
Jammu_and_Kashmir,1992,5.552
Jammu_and_Kashmir,1993,11.104
Jammu_and_Kashmir,1961,12.95
Jammu_and_Kashmir,1962,13.826
Jammu_and_Kashmir,1963,14.6144
Jammu_and_Kashmir,1964,15.4904
Jammu_and_Kashmir,1965,16.3664
Jammu_and_Kashmir,1994,16.656
Jammu_and_Kashmir,1966,17.2424
Jammu_and_Kashmir,1967,18.1184
Jammu_and_Kashmir,1968,18.9944
Jammu_and_Kashmir,1969,19.8704
Jammu_and_Kashmir,1970,20.7464
Jammu_and_Kashmir,1971,21.71
Jammu_and_Kashmir,1995,22.208
Jammu_and_Kashmir,1972,22.603
Jammu_and_Kashmir,1973,23.496
Jammu_and_Kashmir,1974,24.389
Jammu_and_Kashmir,1975,25.282
Jammu_and_Kashmir,1976,26.175
Jammu_and_Kashmir,1977,27.068
Jammu_and_Kashmir,1996,27.76
Jammu_and_Kashmir,1978,27.961
Jammu_and_Kashmir,1979,28.854
Jammu_and_Kashmir,1980,29.747
Jammu_and_Kashmir,1981,30.64
Jammu_and_Kashmir,1997,33.312
Jammu_and_Kashmir,1998,38.864
Jammu_and_Kashmir,1999,44.416
Jammu_and_Kashmir,2000,49.968
Jammu_and_Kashmir,2001,55.52
Jammu_and_Kashmir,2002,56.684
Jammu_and_Kashmir,2003,57.848
